                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.65317,                0.36856,                0.81053,                0.51026,                0.35185,                0.36038,                0.18929,                 1.9674,                  1.692,                0.95006,             0.00036873,             0.00036873,             0.00036873
                    116,                0.70095,                0.37879,                0.81122,                0.54357,                0.35185,                0.36875,                0.18182,                 1.9791,                 1.7877,                0.94675,             0.00036679,             0.00036679,             0.00036679
                    117,                0.66697,                 0.3805,                0.80203,                0.55012,                0.35185,                 0.3997,                0.19423,                 1.9707,                 1.8662,                0.94711,             0.00036485,             0.00036485,             0.00036485
                    118,                0.71216,                0.40398,                0.81295,                 0.6899,                0.37037,                0.42707,                0.20418,                  1.922,                 1.7339,                0.93164,             0.00036291,             0.00036291,             0.00036291
                    119,                0.70565,                0.38927,                0.80404,                0.57211,                0.43903,                0.44559,                0.21566,                 1.9324,                 1.6445,                0.93381,             0.00036097,             0.00036097,             0.00036097
                    120,                 0.6472,                0.36421,                0.79639,                0.52534,                0.39863,                0.42682,                0.21947,                 1.9671,                 1.7679,                0.94761,             0.00035903,             0.00035903,             0.00035903
                    121,                0.70422,                0.38714,                0.81097,                0.68055,                0.39298,                 0.4181,                0.21993,                 2.0523,                 1.8309,                0.95603,             0.00035709,             0.00035709,             0.00035709
                    122,                0.67163,                0.37968,                0.79918,                0.69037,                0.39385,                0.43671,                0.21948,                 2.1522,                 1.9215,                0.97157,             0.00035515,             0.00035515,             0.00035515
                    123,                0.70505,                0.38717,                0.78718,                0.51574,                0.40705,                0.43492,                0.20613,                 2.1063,                 1.8268,                0.95411,             0.00035321,             0.00035321,             0.00035321
                    124,                0.79124,                0.41526,                0.79419,                0.76012,                0.32471,                0.43763,                0.20127,                 2.0635,                 1.8243,                0.95673,             0.00035127,             0.00035127,             0.00035127
